"ICD10_Code", "Description"
"A00.A09","Intestinal infectious diseases"
"A15.A19.B90","Tuberculosis"
"A33.A35","Tetanus"
"A36","Diphtheria"
"A37","Whooping cough"
"A39","Meningococcal infection"
"A40.A41","Septicaemia"
"A50.A64","Infections with a predominantly sexual mode of transmission (excluding HIV)"
"A80.B91","Poliomyelitis"
"B05","Measles"
"B15.B19","Viral hepatitis"
"B20.B24","Human immunodeficiency virus [HIV] disease"
"B50.B54","Malaria"
"C00.C97","Total of malignant neoplams"
"C00.C14","Malignant neoplasm of lip, oral cavity and pharynx"
"C15","Malignant neoplasm of oesophagus"
"C16","Malignant neoplasm of stomach"
"C18.C21","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal"
"C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"C25","Malignant neoplasm of pancreas"
"C33.C34","Malignant neoplasm of trachea, bronchus and lung"
"C43.C44","Melanoma and other skin cancers"
"C50","Malignant neoplasm of breast"
"C53","Malignant neoplasm of cervix uteri"
"C54.C55","Malignant neoplasm of corpus uteri"
"C56","Malignant neoplasm of ovary"
"C61","Malignant neoplasm of prostate"
"C67","Malignant neoplasm of bladder"
"C81.C90.C96","Malignant neoplasm of lymphomas and multiple myeloma"
"C91.C95","Leukaemia"
"D00.D48","Benign neoplasms"
"D50.D64","Anaemias"
"E10.E14","Diabetes mellitus"
"E40.E46","Malnutrition"
"F01.F03.G30.G31","Alzheimer and other dementias"
"I00.I09","Acute rheumatic fever and chronic rheumatic heart diseases"
"I10.I15","Hypertensive diseases"
"I20.I25","Ischaemic heart diseases"
"I60.I69","Cerebrovascular diseases"
"I70.I79","Diseases of arteries, arterioles and capillaries"
"J10.J11","Influenza"
"J12.J18","Pneumonia"
"J40.J47","Chronic lower respiratory diseases"
"K25.K27","Gastric and duodenal ulcer"
"K70.K76","Diseases of the liver"
"N00.N28","Disorders of kidney and ureter"
"N40","Hyperplasia of prostate"
"O00.O07","Pregnancy with abortive outcome"
"O10.O92.O95.A34","Other direct obstetric causes"
"O98.O99","Indirect obstetric causes"
"V01.V99","Transport accidents"
"W00.W19","Falls"
"W65.W74","Accidental drowning and submersion"
"X00.X09","Exposure to smoke, fire and flames"
"X40.X49","Accidental poisoning by and exposure to noxious substances"
"X60.X84.Y870","Intentional self.harm"
"X85.Y09.Y871","Assault"
"Y10.Y89","All other external causes"
